Timestamp,"You are meeting a stranger in Chicago. You both know that you need to meet each other today, but you haven't agreed on a place or a time and you have no means of communication. WHERE do you go to meet them?","You are meeting a stranger in Chicago. You both know that you need to meet each other today, but you haven't agreed on a place or a time and you have no means of communication. WHAT TIME do you go to meet them?","You are meeting another UChicago student who you have not met before. You both know that you are both UChicago students and that you should meet today somewhere in the city of Chicago, but you haven't agreed on a meeting location and you have no means of communication. Where do you go to meet them?","You are meeting your closest friend from UChicago. You both know you should meet somewhere in the city of Chicago, but you haven't agreed on a meeting location and you have no means of communication. Where do you go to meet them?","You and an anonymous partner need to choose heads or tails. If you both choose the SAME answer, you both win. Which do you choose?","You and an anonymous partner need to choose heads or tails. If you both choose DIFFERENT answers, you both win. Which do you choose?","You and an anonymous partner each give a number between 0 and 10. If you choose the same number, you both win. What number do you choose?","You and an anonymous partner each choose a number from the list below. If you choose the same number, you both win. Which number do you choose?","You and an anonymous partner each give a number. If you say the same number, you both win. The bigger the number, the more you win. What number do you choose? (your answer should contain only numerical characters; no letters, punctuation, or symbols)",Which best describes you?,OPTIONAL: Which of the following describe you? Select all that apply.,"OPTIONAL: What language do you feel most comfortable/proficient speaking? (If you consider yourself equally proficient in more than one language, list all.)",STRANGER_ERROR,STUDENT_ERROR,FRIEND_ERROR
2020-04-29T22:13:00Z,Burton Judson Courts,1899-12-30T12:00:00Z,,Burton Judson Courts,Tails,Heads,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T01:37:20Z,Bean,1899-12-30T12:00:00Z,,North,Heads,Tails,0,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T02:58:28Z,Magnificent Mile,1899-12-30T12:00:00Z,,Regenstein,Heads,Heads,5,100,50,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T07:19:47Z,coffee shop/restaurant next where they're staying,1899-12-30T12:30:00Z,,a coffee shop we regularly visit together,Heads,Heads,3,99,1000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-30T09:09:21Z,"Somewhere prominent downtown, like the Sears tower",1899-12-30T12:00:00Z,,House lounge (or his room),Heads,Heads,7,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T09:27:58Z,Millennium Park,1899-12-30T09:00:00Z,,The entrance of his or her dorm.,Heads,Heads,6,261,999,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T09:46:01Z,Last place i saw them,1899-12-30T18:00:00Z,,Their apartment,Heads,Heads,5,100,1000000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-30T10:05:06Z,the first floor of the reg,1899-12-30T14:00:00Z,,mansueto,Tails,Tails,7,7,1000000,UChicago undergraduate student,NA,NA,NA,TRUE,NA
2020-04-30T10:07:51Z,The Regenstein,1899-12-30T17:30:00Z,,My dorm room,Heads,Tails,6,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T10:15:54Z,Ex Libris,1899-12-30T17:00:00Z,,Hallowed Grounds,Heads,Heads,10,100,10000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T10:30:42Z,Hutchinson Commons,1899-12-30T10:00:00Z,,Dorm Room,Heads,Tails,7,261,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T10:49:50Z,I don't go meet them.,1899-12-30T12:00:00Z,,Their apartment,Heads,Heads,NA,7,1003,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T10:58:39Z,First Floor of the reg. I am assuming we are meeting to work on school work.,1899-12-30T16:00:00Z,,Their room,Heads,Heads,5,261,100,UChicago undergraduate student,NA,NA,TRUE,TRUE,NA
2020-04-30T10:58:48Z,the middle of the quad or the A level,1899-12-30T12:00:00Z,,The house lounge,Heads,Tails,7,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T11:07:04Z,"To where they live or somewhere I see them often, somewhere we run into each other frequently",1899-12-30T17:00:00Z,,ratner or baker,Heads,Tails,10,100,1000000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-30T11:09:14Z,Millenium Park/ Michigan Avenue,1899-12-30T16:00:00Z,,Dollop coffee,Tails,Tails,6,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T11:12:09Z,Their home,1899-12-30T18:00:00Z,,Logan,Heads,Heads,7,100,1000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-30T11:12:42Z,the quad,1899-12-30T12:00:00Z,,her room,Heads,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T11:15:22Z,the Bean!,1899-12-30T12:00:00Z,,at their room,Heads,Heads,7,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T11:17:06Z,Millennium Park,1899-12-30T12:30:00Z,,residential hall,Heads,Heads,5,555,999,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T11:24:43Z,Their home,1899-12-30T07:30:00Z,,Their house,Heads,Heads,5,7,100,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-30T11:25:18Z,Union Station,1899-12-30T10:00:00Z,,Stony Island,NA,Heads,5,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T11:31:08Z,At their hotel/dorm,1899-12-30T11:00:00Z,,Their house,Heads,Heads,0,100,1000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-30T11:37:14Z,at their home as early as possible,1899-12-30T12:00:00Z,,"Where I usually see them, at CSIL.",Heads,Heads,1,100,1000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-30T11:45:10Z,Meet them at your apartment.,1899-12-30T12:00:00Z,,My apartment,Heads,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T11:46:32Z,Station,1899-12-30T12:00:00Z,,Reg,Heads,Heads,5,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T11:46:58Z,The bean,1899-12-30T02:00:00Z,,Crerar,Heads,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T11:51:04Z,Millennium Park,1899-12-30T12:00:00Z,,Max P Central,Tails,Tails,5,99,999,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T11:58:01Z,where ever they are staying,1899-12-30T12:00:00Z,,harper cubicles,Heads,Heads,5,100,100,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-30T12:12:03Z,"Somewhere thats a landmark, so if I know they're in Hyde Park/campus Harper or the Reg,but if they are not associated with UChicago the Bean or something",1899-12-30T13:00:00Z,,The Lounge,Tails,Tails,5,100,50,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T12:16:33Z,where they are staying,1899-12-30T10:00:00Z,,their or my apartment,Heads,Heads,5,100,1200,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-30T12:26:04Z,The quad,1899-12-30T12:00:00Z,,The library,Heads,Tails,5,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T12:26:20Z,Downtown near the loop,1899-12-30T12:00:00Z,,Their apartment or a common hangout place,Tails,Tails,7,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T12:27:35Z,I would try to meet them outside the reg since I feel like there is a lot of traffic and likely hood that I would be able to find them.,1899-12-30T10:30:00Z,,At their dorm,Tails,Tails,7,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T12:44:11Z,The Bean,1899-12-30T12:00:00Z,,Bartlett,Heads,Heads,5,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T12:52:05Z,The Bean,1899-12-30T10:00:00Z,,My fraternity house,Heads,Heads,1,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T13:02:14Z,first floor of reg,1899-12-30T14:30:00Z,,Pret,Heads,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T13:05:24Z,Their house or apartment most likely,1899-12-30T11:00:00Z,,I would meet them at their apartment,Tails,Tails,7,261,1000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-30T13:16:32Z,"I would go to the place where they are staying; if they are visiting I would go to their hotel, if they are a student I would go to their apartment",1899-12-30T16:00:00Z,,I would meet them at our fraternity house,Heads,Tails,7,7,777,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-30T14:11:40Z,The bean,1899-12-30T12:00:00Z,,Hutch,Heads,Tails,5,555,5000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T14:15:38Z,"I would go to where we last saw each other, or I would just go to their door and knock on it, surprise them",1899-12-30T16:00:00Z,,their room,Heads,Heads,6,100,1000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-30T15:22:16Z,the Bean,1899-12-30T12:00:00Z,,Mine,Heads,Heads,10,100,10000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T15:33:40Z,UChicago quad,1899-12-30T12:00:00Z,,my house,Heads,Tails,5,7,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T17:11:01Z,the bean,1899-12-30T12:00:00Z,,pret,Heads,Heads,5,100,1010,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T18:54:02Z,Millennium Park,1899-12-30T12:00:00Z,,North,Heads,Heads,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T19:18:31Z,South (the dorm),1899-12-30T18:00:00Z,,Reg Library,Heads,Heads,1,7,10,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T20:49:10Z,Grant Park,1899-12-30T12:00:00Z,,Our apartment,Heads,Heads,7,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T21:55:36Z,his dorm,1899-12-30T17:00:00Z,,their dorm,Heads,Heads,10,100,1000000000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-30T22:29:42Z,The Reg,1899-12-30T17:00:00Z,,The Reg,Heads,Heads,10,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-30T22:40:58Z,In the lobby of their office/apartment building,1899-12-30T18:00:00Z,,In the I-house lounge,Tails,Tails,5,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-01T01:19:13Z,Baker at mealtime,1899-12-30T08:00:00Z,,NA,Heads,Tails,2,13,10000,UChicago undergraduate student,NA,NA,TRUE,TRUE,NA
2020-05-01T02:47:28Z,Art Insitute,1899-12-30T13:00:00Z,,The Reg,Heads,Tails,10,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-01T07:05:54Z,The Bean,1899-12-30T12:00:00Z,,Her house,Heads,Heads,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-01T08:11:22Z,My apartment,1899-12-30T12:00:00Z,,My room,Heads,Tails,7,99,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-01T10:11:39Z,Millennium Park,1899-12-30T12:00:00Z,,My apartment,Heads,Tails,5,7,1000000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-01T11:32:01Z,Find out where they live and go meet them there in the early morning.,1899-12-30T11:00:00Z,,Meet them in their room.,Heads,Heads,7,7,1000000,UChicago undergraduate student,NA,NA,TRUE,TRUE,NA
2020-05-01T11:52:04Z,Chicago Bean,1899-12-30T12:30:00Z,,My house within Campus North,Heads,Tails,8,100,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-01T13:28:06Z,a coffee shop near their place of dwelling,1899-12-30T13:00:00Z,,her apartment,Tails,Heads,7,99,7,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-05-01T16:33:36Z,The bean,1899-12-30T13:00:00Z,,Reg 1st floor,Heads,Heads,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-01T17:47:47Z,The Bean,1899-12-30T12:00:00Z,,Their dorm,Heads,Heads,5,100,99e18,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-01T18:13:19Z,Millennium Park,1899-12-30T12:00:00Z,,The Regenstein Library,Heads,Heads,10,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-01T22:30:56Z,their house/where they live,1899-12-30T12:00:00Z,,their room,Heads,Heads,7,7,100,UChicago undergraduate student,NA,NA,NA,TRUE,NA
2020-05-02T00:14:20Z,I stay in my dorm room and wait for them to find where I live.,1899-12-30T15:00:00Z,,At the dining hall.,Heads,Heads,0,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T02:04:07Z,I house,1899-12-30T17:00:00Z,,i house,Tails,Tails,1,100,1e21,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T02:06:49Z,Bartlett Dining Commons,1899-12-30T11:00:00Z,,Max P Lobby,Heads,Heads,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T02:41:41Z,Reg,1899-12-30T10:00:00Z,,My room,Heads,Heads,0,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T09:00:57Z,NA,NA,,NA,Heads,Heads,NA,NA,NA,UChicago undergraduate student,NA,NA,TRUE,TRUE,NA
2020-05-02T10:06:18Z,Navy Pier,1899-12-30T13:00:00Z,,Their dorm rooms,Heads,Heads,7,13,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T10:57:43Z,A coffee shop we both know,1899-12-30T15:00:00Z,,Their dorm,Heads,Tails,7,100,2000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-05-02T11:37:54Z,The Bean,1899-12-30T13:30:00Z,,Psi Upsilon,Heads,Heads,7,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T12:12:04Z,Pret,1899-12-30T17:00:00Z,,Trott Lounge - Campus North,Heads,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T12:14:02Z,A place where you both have been together before.,1899-12-30T12:00:00Z,,the reg,Heads,Heads,5,100,500,UChicago undergraduate student,NA,NA,TRUE,TRUE,NA
2020-05-02T12:17:55Z,The Bean.,1899-12-30T11:00:00Z,,In front of North.,Tails,Tails,7,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T13:35:51Z,the Reg,1899-12-30T15:00:00Z,,stacks in the reg,Heads,Tails,7,13,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T15:59:47Z,The Bean,1899-12-30T12:00:00Z,,In front of my dorm,Heads,Tails,7,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T16:01:09Z,Magnificent Mile,1899-12-30T12:00:00Z,,The Reg,Heads,Tails,5,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T16:18:15Z,Wherever we usually see each other.,1899-12-30T13:00:00Z,,The Reg,Heads,Tails,4,13,100000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-05-02T17:23:42Z,where you expect them to be at a certain time,1899-12-30T12:00:00Z,,where  we most frequently meet,Heads,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-05-02T17:41:30Z,Regenstein Library,1899-12-30T20:00:00Z,,my apartment (roommates),Heads,Tails,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T17:44:37Z,UChicago campus,1899-12-30T12:30:00Z,,Dining hall,Heads,Tails,5,100,1e15,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T18:51:42Z,The Reg,1899-12-30T19:00:00Z,,Her apt,Heads,Heads,5,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T20:56:33Z,Union Station,1899-12-30T09:00:00Z,,Pret,Heads,Tails,1,99,999,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-02T20:56:52Z,The bean?,1899-12-30T12:00:00Z,,Our house lounge,Heads,Heads,7,7,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T03:56:15Z,the Bean,1899-12-30T12:00:00Z,,Plein Air Café,Heads,Heads,3,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T08:54:30Z,My home,1899-12-30T12:00:00Z,,home,Tails,Heads,7,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T10:42:31Z,I would meet them in the lobby of my dorm or by their room.,1899-12-30T12:00:00Z,,Their room!,Tails,Tails,5,555,5,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T10:57:05Z,The Bean,1899-12-30T12:00:00Z,,The Logan Center,Heads,Heads,5,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T11:46:34Z,"I would either go to the place where we most commonly interact, if it was close. Or i would stay home.",1899-12-30T13:00:00Z,,Their house,Heads,Heads,0,100,1000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-05-03T12:44:58Z,Millennium Park,1899-12-30T11:00:00Z,,Mansueto,Heads,Heads,7,100,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T13:25:36Z,The Bean,1899-12-30T12:00:00Z,,I'd meet them at their apartment,Heads,Heads,3,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T13:44:46Z,Reg,1899-12-30T14:00:00Z,,Reg,Heads,Tails,0,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T14:29:59Z,The Bean,1899-12-30T15:00:00Z,,The Reg,Heads,Heads,7,7,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T14:57:08Z,"where I know they may be, like their job or school",1899-12-30T10:00:00Z,,Their apartment,Heads,Heads,5,100,100,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-05-03T15:04:06Z,the quad,1899-12-30T12:00:00Z,,The reg,Heads,Heads,5,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T15:06:40Z,The Reg,NA,,Their Apartment,Tails,Heads,7,261,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T15:49:24Z,Clark and Lake,1899-12-30T10:00:00Z,,Reg,Heads,Heads,10,100,999,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T16:46:39Z,"The bean; if this person is in visiting Chicago, it probably seems like the most well-known ""Chicago spot.""",1899-12-30T12:30:00Z,,My apartment... hopefully he comes back.,Heads,Tails,7,100,1000000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T18:25:41Z,"Where I usually see this person (i.e in class, ratner, etc)",1899-12-30T13:00:00Z,,The reg,Tails,Tails,7,7,100,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-05-03T18:28:02Z,The Bean in Millennium Park,1899-12-30T12:00:00Z,,Our dormitory,Heads,Tails,7,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T19:24:08Z,The Med,1899-12-30T18:00:00Z,,Dorm,Heads,Tails,5,13,500,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T19:35:22Z,"meet at a starbucks but tell a mutual friend to tell them time/address, so we do not communicate directly",1899-12-30T15:00:00Z,,spot we see each other the most (reg),Heads,Tails,8,261,888,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-05-03T20:10:12Z,Grant Park,1899-12-30T14:00:00Z,,My apartment,Heads,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T20:34:33Z,regenstein,1899-12-30T14:00:00Z,,Quad,Heads,Heads,2,100,5,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T20:41:48Z,The reg,1899-12-30T12:00:00Z,,Cathey,Heads,Heads,7,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T20:55:56Z,Center of the quad,1899-12-30T12:00:00Z,,Koi Pond (Botany Pond),Heads,Heads,2,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T21:01:30Z,Sears Tower,1899-12-30T11:00:00Z,,Our apartment,Heads,Heads,7,7,7,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T21:18:30Z,The library,1899-12-30T12:00:00Z,,Outside the Bookstore,Heads,Heads,7,7,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T21:40:04Z,A Starbucks,1899-12-30T17:00:00Z,,Their apartment/dorm,Heads,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T21:44:32Z,Their house,1899-12-30T08:00:00Z,,The Reg (our usual spot),Tails,Tails,4,7,100,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-05-03T22:03:12Z,Millenium Park,1899-12-30T13:00:00Z,,My apartment,Heads,Tails,4,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T22:04:09Z,Ex Lub,1899-12-30T12:00:00Z,,Our apt,Heads,Heads,7,99,777,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T22:16:35Z,O'hare,1899-12-30T17:00:00Z,,Their apartment,Tails,Heads,7,13,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T23:34:47Z,Go to their house,1899-12-30T12:00:00Z,,Their dorm,Heads,Heads,10,100,1000000000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-05-03T23:38:51Z,the reg,1899-12-30T12:00:00Z,,my apartment,Tails,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-03T23:55:16Z,no idea,1899-12-30T10:00:00Z,,Reg,Heads,Tails,1,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-04T00:02:52Z,Where we last spoke.,1899-12-30T10:00:00Z,,My apartment (we are roommates),Tails,Tails,7,7,1000000000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-05-04T00:10:42Z,the bean,1899-12-30T13:30:00Z,,my apartment. he is my roomate.,Heads,Tails,7,7,420,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-04T01:24:10Z,Reg,1899-12-30T10:00:00Z,,Campus North,Heads,Heads,5,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-04T02:12:14Z,The Chicago Bean,1899-12-30T12:00:00Z,,The Reg,Heads,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-04T02:14:49Z,The Bean,1899-12-30T10:00:00Z,,Reg,Heads,Tails,5,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-04T03:07:45Z,The main quad,1899-12-30T12:00:00Z,,Regenstein Library,Heads,Heads,7,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-04T03:38:48Z,Their home,1899-12-30T10:00:00Z,,Their home,Tails,Heads,5,13,1000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-05-04T04:09:24Z,Their office or place of employment,1899-12-30T10:00:00Z,,Our apartment,Heads,Heads,5,100,1000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-05-04T04:48:34Z,Cloudgate,1899-12-30T15:00:00Z,,Regenstein Library,Tails,Heads,7,99,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
